COUNT(*),Date(cout)
18690,2015-05-13
19870,2015-05-14
12993,2015-05-15
24028,2015-05-16
14162,2015-05-17
21813,2015-05-18
21488,2015-05-19
19433,2015-05-20
20393,2015-05-21
15870,2015-05-22
24435,2015-05-23
13917,2015-05-24
27368,2015-05-26
20558,2015-05-27
18818,2015-05-28
12771,2015-05-29
22267,2015-05-30
14536,2015-05-31
23669,2015-06-01
21698,2015-06-02
22065,2015-06-03
19583,2015-06-04
13146,2015-06-05
21695,2015-06-06
13272,2015-06-07
23000,2015-06-08
19295,2015-06-09
19695,2015-06-10
19361,2015-06-11
14346,2015-06-12
22639,2015-06-13
14182,2015-06-14
22954,2015-06-15
21558,2015-06-16
23814,2015-06-17
22711,2015-06-18
15208,2015-06-19
20560,2015-06-20
13434,2015-06-21
25238,2015-06-22
22595,2015-06-23
22360,2015-06-24
20787,2015-06-25
13783,2015-06-26
20134,2015-06-27
13518,2015-06-28
24426,2015-06-29
21341,2015-06-30
21259,2015-07-01
21481,2015-07-02
15804,2015-07-03
16464,2015-07-05
27785,2015-07-06
23748,2015-07-07
21946,2015-07-08
21574,2015-07-09
16475,2015-07-10
22345,2015-07-11
14395,2015-07-12
27293,2015-07-13
21528,2015-07-14
21254,2015-07-15
20314,2015-07-16
14816,2015-07-17
19444,2015-07-18
13155,2015-07-19
26950,2015-07-20
21592,2015-07-21
20727,2015-07-22
21842,2015-07-23
15759,2015-07-24
22639,2015-07-25
15041,2015-07-26
25552,2015-07-27
20452,2015-07-28
20818,2015-07-29
20420,2015-07-30
14047,2015-07-31
19776,2015-08-01
13784,2015-08-02
25732,2015-08-03
21547,2015-08-04
21826,2015-08-05
20780,2015-08-06
12806,2015-08-07
20660,2015-08-08
13284,2015-08-09
24282,2015-08-10
20979,2015-08-11
18892,2015-08-12
20845,2015-08-13
13061,2015-08-14
22892,2015-08-15
13913,2015-08-16
24881,2015-08-17
20740,2015-08-18
20235,2015-08-19
22036,2015-08-20
14620,2015-08-21
20779,2015-08-22
13666,2015-08-23
24624,2015-08-24
20400,2015-08-25
20058,2015-08-26
20466,2015-08-27
14921,2015-08-28
21661,2015-08-29
15648,2015-08-30
24711,2015-08-31
22711,2015-09-01
20889,2015-09-02
21240,2015-09-03
15628,2015-09-04
22172,2015-09-05
16711,2015-09-06
5,2015-09-07
29651,2015-09-08
22741,2015-09-09
20755,2015-09-10
14038,2015-09-11
19045,2015-09-12
14540,2015-09-13
26289,2015-09-14
23092,2015-09-15
20482,2015-09-16
18641,2015-09-17
14895,2015-09-18
24474,2015-09-19
16030,2015-09-20
23171,2015-09-21
19555,2015-09-22
20453,2015-09-23
18226,2015-09-24
14175,2015-09-25
22697,2015-09-26
13781,2015-09-27
21199,2015-09-28
19266,2015-09-29
19603,2015-09-30
18051,2015-10-01
14690,2015-10-02
22828,2015-10-03
13893,2015-10-04
20829,2015-10-05
20206,2015-10-06
19419,2015-10-07
19083,2015-10-08
14988,2015-10-09
22480,2015-10-10
14759,2015-10-11
21691,2015-10-12
19750,2015-10-13
19257,2015-10-14
18590,2015-10-15
13635,2015-10-16
22895,2015-10-17
14177,2015-10-18
22959,2015-10-19
20185,2015-10-20
18619,2015-10-21
18343,2015-10-22
14420,2015-10-23
23774,2015-10-24
14176,2015-10-25
22460,2015-10-26
18884,2015-10-27
19977,2015-10-28
19382,2015-10-29
12280,2015-10-30
20204,2015-10-31
14251,2015-11-01
23171,2015-11-02
19971,2015-11-03
19970,2015-11-04
20387,2015-11-05
14332,2015-11-06
24058,2015-11-07
15894,2015-11-08
21794,2015-11-09
21349,2015-11-10
24201,2015-11-12
14397,2015-11-13
24687,2015-11-14
16362,2015-11-15
22104,2015-11-16
18822,2015-11-17
21300,2015-11-18
21639,2015-11-19
15645,2015-11-20
24997,2015-11-21
15108,2015-11-22
24241,2015-11-23
22104,2015-11-24
24605,2015-11-25
13820,2015-11-27
21193,2015-11-28
14216,2015-11-29
22201,2015-11-30
20501,2015-12-01
18991,2015-12-02
18934,2015-12-03
14966,2015-12-04
22136,2015-12-05
14027,2015-12-06
21173,2015-12-07
17212,2015-12-08
19473,2015-12-09
15771,2015-12-10
13122,2015-12-11
21387,2015-12-12
13837,2015-12-13
20819,2015-12-14
17254,2015-12-15
17434,2015-12-16
16776,2015-12-17
13418,2015-12-18
22411,2015-12-19
12217,2015-12-20
21002,2015-12-21
20943,2015-12-22
23549,2015-12-23
16226,2015-12-26
9414,2015-12-27
21161,2015-12-28
19665,2015-12-29
21130,2015-12-30
18993,2015-12-31
